"frame","meanBase","meanPPAO","meanPPDP","meanComb","rawBase2","rawBase3","rawBase4","rawBase5","rawBase6","rawPPAO2","rawPPAO3","rawPPAO4","rawPPAO5","rawPPAO6","rawPPDP2","rawPPDP3","rawPPDP4","rawPPDP5","rawPPDP6","rawComb2","rawComb3","rawComb4","rawComb5","rawComb6"
0,107.1401443482,24.32475471496,11.01619949342,11.55528717042,108.481193542,102.352813721,106.246627808,111.089897156,107.530189514,24.6880130768,23.7046794891,24.483751297,24.4724597931,24.2748699188,10.5733919144,11.1574382782,10.9880752563,10.9146842957,11.4474077225,11.6660404205,11.5218248367,11.6578292847,11.3935194016,11.5372219086
1,104.081034851,23.08563194274,11.0598230362,11.51659030914,104.706962585,106.6746521,101.483413696,102.175750732,105.364395142,23.5363426208,22.8188591003,22.8943023682,23.3223304749,22.8563251495,11.454079628,10.9665193558,11.027592659,10.9639530182,10.88697052,11.6973466873,11.5115604401,11.5741739273,11.4823074341,11.3175630569
2,105.3075317382,24.16770820618,10.92207450868,11.74466609954,104.103408813,107.702125549,105.610740662,104.864517212,104.256866455,24.7039222717,24.523267746,24.171710968,23.8355522156,23.6040878296,10.7155542374,10.9516363144,11.0537672043,11.1892576218,10.7001571655,11.8005046844,11.8194942474,11.7122306824,11.7948589325,11.596241951
3,104.0013839722,23.76216087342,11.00069999694,11.4898004532,106.760871887,102.255302429,103.88067627,104.484733582,102.625335693,23.1647701263,23.6133270264,23.7755050659,23.9587249756,24.2984771729,10.916223526,10.9341869354,10.977809906,10.8130664825,11.3622131348,11.461265564,11.5156669617,11.4084033966,11.4961643219,11.5675020218
4,105.639588928,23.26115341188,11.1822778702,11.49565105438,106.572525024,105.303840637,105.938179016,106.757797241,103.625602722,23.205827713,23.2520179749,22.9333076477,23.7729377747,23.1416759491,11.4894924164,11.329366684,10.9475307465,11.1179199219,11.0270795822,11.4150753021,11.4889793396,11.4068632126,11.5972690582,11.5700683594
5,106.3547103882,23.24883651734,10.92967014314,11.44114704132,103.710281372,106.752151489,107.404968262,105.457801819,108.448348999,23.6420669556,23.2001838684,22.9050807953,23.0754699707,23.4213809967,10.8402671814,11.0943117142,10.7222261429,11.1194591522,10.872086525,11.5598039627,11.4592123032,11.4417629242,11.4797410965,11.26521492
6,105.2039642332,24.7291725159,11.19028415678,11.48672103882,104.868110657,108.614120483,104.044387817,105.533248901,102.959953308,24.016204834,25.0677967072,24.7998943329,24.7316360474,25.030330658,11.4325246811,11.0999574661,11.1410150528,11.3889007568,10.8890228271,11.2821512222,11.5459470749,11.6763048172,11.6224164963,11.3067855835
7,106.7549194334,24.1325012207,11.1881286621,11.58833885194,109.403961182,105.362342834,106.992851257,104.437004089,107.578437805,24.0531578064,23.8868732452,24.1111507416,24.3929100037,24.2184143066,10.8715734482,11.0737829208,11.3740177155,10.9860219955,11.6352472305,11.7650918961,11.3853082657,11.8774881363,11.3837690353,11.5300369263
8,103.8781082154,24.64828948976,11.12407855988,11.48867111204,107.819137573,103.239143372,103.749801636,102.287635803,102.294822693,24.1552886963,24.6484947205,24.9846553802,24.7834720612,24.6695365906,11.0573596954,11.0204076767,11.0424766541,11.2600822449,11.2400665283,11.5382480621,11.6044540405,11.615231514,11.3416843414,11.3437376022
9,105.4030944826,24.48477668762,11.196134758,11.49370059968,104.271751404,106.709037781,103.598403931,103.778541565,108.657737732,25.1966152191,24.8404388428,23.673374176,24.0711193085,24.6423358917,11.1281843185,10.2541675568,11.8282184601,11.5474863052,11.2226171494,11.4325246811,11.3853082657,11.5613431931,11.5454330444,11.5438938141
10,106.9866897584,24.19993896484,11.13916740416,11.69683399202,104.639213562,108.957458496,113.737609863,103.929428101,103.66973877,23.8991909027,23.8904666901,24.6048698425,24.526348114,24.0788192749,10.8448858261,11.1435813904,11.2559766769,11.4525403976,10.9988527298,11.8282184601,11.5608301163,11.6680936813,11.7999916077,11.6270360947
11,107.8811340334,24.31500282286,11.27178363798,11.52870254514,106.652580261,107.139633179,111.337272644,105.091362,109.184822083,24.17735672,24.2379169464,24.5971717834,24.1332206726,24.4293479919,10.8274364471,11.1117610931,11.4145622253,11.6691198349,11.3360385895,11.5505657196,11.5095081329,11.4925718307,11.6455116272,11.4453554153
12,108.57315979,23.97627677918,11.1213071823,11.66419296262,109.484024048,109.750900269,110.914375305,105.749313354,106.967185974,23.7103252411,24.0464859009,24.0962677002,24.1645259857,23.863779068,11.2097864151,11.4648580551,11.1512794495,11.0476083755,10.7330036163,11.5828990936,11.6424322128,11.659368515,11.7461032867,11.690161705
13,106.6660278322,24.12767715456,11.25494995116,11.66275596618,106.186576843,105.868377686,108.098327637,108.684425354,104.492431641,23.7313671112,23.8032188416,23.8966255188,24.2168750763,24.9902992249,11.4525403976,11.1964426041,11.2703466415,11.2539234161,11.1014966965,11.7245473862,11.6845169067,11.6860561371,11.4243135452,11.7943458557
